Id,Name,App,AvgCpu,CurrentType,SuggestedType
i-9160d46c,daas-internal-file-3-prod-priv,DaaS,1.99,m3.large,t2.medium
i-009683fc,nmo-webapp-1-dev-priv,Nasa_Management_Office_website,4.34,m3.large,t2.medium
i-afbbc953,daas-external-app-2-prod-priv,DaaS,4.98,m3.large,t2.medium
i-f4024d0f,www-file-2-prod-cms,CMS,0.73,m3.2xlarge,t2.small
i-0e2513445b4f32399,www.ssc-web-1-dev-pubvpc,SSC,5.17,m3.medium,t2.medium
i-05cc646538d540023,www-app-1-dev-pubvpc,CMS,0.22,c4.xlarge,t2.small
i-96da700c,www-feed-cache-green-2-prod-cms,CMS,1.27,m4.xlarge,t2.medium
i-0573b6d2,wpaas-webapp-1-dev-pubvpc,WPaaS,0.89,m4.large,t2.small
i-0d85dd8f6d1cd7459,smd-cron-prod-pink,SMD,0.15,c4.xlarge,t2.small
i-fc70be81,nat-proxy-2-prod-pubvpc,Proxies,0.91,m3.medium,t2.small
i-07617381d128dee0c,caching-proxy-iaas-1-prod-pubvpc,WPaaS,3.35,m3.large,t2.medium
i-02579733fd941d626,daas-aegir-app-1-dev-priv,DaaS,0.76,t2.large,t2.small
i-e947eab9,tririga-webapp-2-stage-priv,Tririga,4.8,m3.large,t2.medium
i-f732dcf6,straw-webapp-2-prod-priv,STRAW,4.0,m3.large,t2.medium
i-0b20e6fdfc8e5c1bf,daas-webapp-0-prod-az1-priv,DaaS,0.79,t2.large,t2.small
i-53553be0,www-lucas-1-dev-pubvpc,CMS,5.89,m3.medium,t2.medium
i-06870496fb0fb7484,redirects-web-1-prod-pubvpc,Redirects,3.29,m3.medium,t2.medium
